연번,사업장명,주소,위도,경도,데이터기준일자
91,에스엠마트 첨단점,"광주광역시 광산구 첨단중앙로68번길 99 (산월동 883-1, 호반리젠시빌상가 120)",35.21248237,126.8487728,2024-04-30
92,씨유 첨단천사,"광주광역시 광산구 첨단내촌로11번길 16-1 (월계동 799-5, 1층)",35.20889867,126.8356881,2024-04-30
93,데이앤데이수완점,"광주광역시 광산구 수완로 67, 1층일부(후면소쪽부)(수완동)",35.19130642,126.8285254,2024-04-30
94,지에스25 첨단도휘점,"광주광역시 광산구 월계로 223-20, 1층 110호 (쌍암동 694-70, 첨단도휘에드가2차)",35.21525281,126.8504149,2024-04-30
95,씨유 성덕미소점,광주광역시 광산구 장덕로 51 (장덕동 1073),35.19506291,126.8149399,2024-04-30
96,GS25 수완원룸점,광주광역시 광산구 수완로50번길 55 (수완동 1600),35.18847274,126.8312824,2024-04-30
97,위드미광주송촌점,광주광역시 광산구 송촌길 1 (송촌동 276-1),35.13870556,126.7735807,2024-04-30
98,비마트,"광주광역시 광산구 사암로 271, 상가동 102호,109호~113호(하남일신아파트)",35.16874636,126.8084673,2024-04-30
99,씨유 신창리치점,광주광역시 광산구 신창로106번길 25 (신창동 1242-8),35.19447056,126.839393,2024-04-30
100,텃밭장덕점,"광주광역시 광산구 풍영로169번길 46 (장덕동 1593, 106, 107호)",35.18856077,126.8108807,2024-04-30
101,세븐일레븐신가세종점,광주광역시 광산구 신창로71번길 33,35.19362671,126.8335172,2024-04-30
102,이마트24 하남손재로점,"광주광역시 광산구 손재로 324, 1층(하남동 440-15)",35.19449933,126.7952458,2024-04-30
103,위드미 광주월계점,광주광역시 광산구 월계로140번길 2 (월계동 768-7),35.21327021,126.8405992,2024-04-30
104,하늘 마트,"광주광역시 광산구 목련로 15 (산정동 1027, 상가동 103호, 104호)",35.17378983,126.7988048,2024-04-30
105,씨엘 천냥생활마트,광주광역시 광산구 사암로171번길 66 (우산동 1605-4),35.160143,126.8041856,2024-04-30
106,이마트24 첨단메가박스점,"광주광역시 광산구 앰코로 35 (쌍암동 688-4, 101호)",35.2215326,126.8523915,2024-04-30
107,지에스(GS)25 광주장덕,광주광역시 광산구 장신로19번길 4 (장덕동 1462),35.19134155,126.8125727,2024-04-30
108,세븐흑석원룸점,"광주광역시 광산구 풍영로101번안길 11 (흑석동 557, 1층)",35.18151182,126.8101319,2024-04-30
109,드림산업안전,"광주광역시 광산구 첨단내촌로 38 (월계동 838-8, 1층)",35.2102002,126.8374093,2024-04-30
110,홈플러스(주)광주하남점,광주광역시 광산구 용아로 390 (하남동 831),35.17796809,126.8053835,2024-04-30
111,이마트24첨단메디케어,"광주광역시 광산구 월계로 223-8 (쌍암동 694-59, 중흥아파트상가 110동 1층 109호)",35.21364227,126.8508419,2024-04-30
112,지에스25 첨단대라수점,"광주광역시 광산구 임방울대로825번길 60-18, 104호 (쌍암동 689-1)",35.22041873,126.8507887,2024-04-30
113,CU 첨단부영 3차점,"광주광역시 광산구 첨단중앙로68번길 131 (산월동 883-2, 부영3차@ 상가)",35.21160687,126.8497065,2024-04-30
114,주식회사 신진사,광주광역시 광산구 용아로 383 (하남동 783),35.17752466,126.8041769,2024-04-30
115,알리바이 우산점,광주광역시 광산구 용아로 175 (우산동 1620),35.15878241,126.8002168,2024-04-30
116,미니스톱 하남 장수점,"광주광역시 광산구 고봉로 126-17 (하남동 399-1, 1층)",35.18538624,126.7943652,2024-04-30
117,이마트24 수완지구점,"광주광역시 광산구 수완로50번길 12 (수완동 1682, 101호)",35.18938213,126.8294939,2024-04-30
118,미니스톱 진곡산단점,광주광역시 광산구 진곡산단2번로 88-2 (오선동 661),35.20213071,126.790553,2024-04-30
119,카카오마트,광주광역시 광산구 풍영로 285 (장덕동 1049),35.19639366,126.8149357,2024-04-30
120,GS25 수완세영,"광주광역시 광산구 풍영로 294-23 (장덕동 1111, 301동 107, 108호)",35.19892811,126.8170261,2024-04-30
121,코리아세븐하남2지구점,광주광역시 광산구 하남대로54번안길 32 (하남동 602),35.17731142,126.7982056,2024-04-30
122,주식회사 코코마트,광주광역시 광산구 월계로 207 (월계동 893-8),35.21359831,126.8482558,2024-04-30
123,씨유 하남산단삼성점,"광주광역시 광산구 용아로 657, 1층(오선동 273-69)",35.20208643,126.8041087,2024-04-30
124,유한회사 첨단에스엠마트,"광주광역시 광산구 첨단중앙로68번길 99, 1층 109호(산월동 883-1)",35.21248237,126.8487728,2024-04-30
125,이마트24 광주도천점,광주광역시 광산구 도천남길 9 (도천동 295-7),35.20848202,126.8169322,2024-04-30
126,지에스25 하남산단점,"광주광역시 광산구 임곡로 757 (도천동 532-6, 101호, 102호)",35.21861978,126.8128114,2024-04-30
127,cu 첨단희망점,광주광역시 광산구 첨단중앙로152번길 81-14 (쌍암동 675-3),35.22012027,126.8470135,2024-04-30
128,세븐일레븐 광주쌍암지구점,광주광역시 광산구 임방울대로825번길 22 (쌍암동 685-6),35.21915421,126.8489539,2024-04-30
129,해빛첨단보훈점,광주광역시 광산구 첨단월봉로 94(산월동),35.20638392,126.848705,2024-04-30
130,세븐일레븐 광주비아하늘점,"광주광역시 광산구 비아로34번길 54-20 (비아동 701-9, 101호)",35.22238892,126.8216208,2024-04-30
131,GS25 하남모아엘가점,"광주광역시 광산구 단전둘레길 15 (하남동 971, 하남3지구모아엘가더퍼스트)",35.18188448,126.7961267,2024-04-30
132,이마트24 광주산정점,광주광역시 광산구 용아로297번길 58-26 (산정동 1104),35.17134815,126.7999475,2024-04-30
133,쿱스토어 광주전남 신용점,"광주광역시 북구 첨단연신로107번길 41, 1층 3,4호",35.20726057,126.8597821,2024-04-30
134,GS25 광주도천,"광주광역시 광산구 하남산단8번로 165 (도천동 621-40, 나동 102호)",35.20906377,126.8138697,2024-04-30
135,알리바이 하남3지구점,광주광역시 광산구 하남대로 95 (하남동 1282),35.1804823,126.80375,2024-04-30
136,지에스25 뉴첨단지구점,"광주광역시 광산구 임방울대로825번길 60-3, 상가동 104-5호(쌍암동)",35.22097461,126.8490558,2024-04-30
137,(주)마트고,"광주광역시 광산구 첨단중앙로 105, 1층(월계동 765-4)",35.21469147,126.8423997,2024-04-30
138,임동마트,광주광역시 북구 서암대로 268(중흥동),35.16546678,126.9134907,2024-04-30
139,(주)코리아세븐 광주산정부영점,"광주광역시 광산구 목련로 42 (산정동 1119, 부영애시앙 상가2동 1층 101호)",35.17239606,126.8021974,2024-04-30
